Date,Clenow 动量 (Stocks on the Move),Minervini 趋势模板,HQM 高质量动量,"多因子动量 (FIP+偏度, Top5)",RSI(2) 均值回归 (Connors),动量 12-1 前 10% (Jegadeesh-Titman),52 周新高接近度 (George-Hwang),低波动 前 25% (long-only),低贝塔 前 10% (Betting Against Beta 多头腿),残差动量 前 10% (Blitz-Huij-Martens),短期反转 周度 10 只,12 个月季节性 (Heston-Sadka),一致性动量 (t−7..t−1 与 t−6..t 双前 10%),历史新高趋势跟踪 + ATR 止损,本仓库 C20 成交额加权 (strategy_final.py),本仓库 v6 动量 Top20 + 趋势过滤 (momentum.py),SPY 买入持有,成分股等权 (月调仓)
2010-03-09,0.0012543026978729906,0.0013679464690104053,0.00238156285810881,-0.00714613250236481,-0.0021608365319763074,0.0022256937231503134,0.0004940385374316053,-2.4245996373162093e-05,1.3456173757635007e-05,0.0004155155170147658,4.576370959914473e-05,0.015125887533987878,-0.0006056745030135021,-0.0012725792529523028,0.003642654755083121,-0.001324869586523214,0.0016626707502054305,0.0014250757720566895
2010-03-10,0.007025963286412407,0.004415889046117677,0.007865788171228091,0.006089005779617064,0.02085323438395612,0.017480075628771408,0.002617530182352021,0.0011313375951931945,0.002702979093791259,0.014412358346504634,0.0016459256314648304,0.022987573790011144,0.0022077294114061234,0.0056362682981206036,0.009026812005415216,0.016571443843239213,0.004455587915913384,0.005752637462793274
2010-03-11,0.004195357021375946,0.0038895433109801727,0.0014153404527087311,0.004858091743552936,0.002264573767448393,0.00360731168458362,0.0033877066260556443,0.0036470471376014893,0.002613178498348508,0.005716086558686388,0.005641656694608867,0.01120847041235648,0.0003486269146637523,0.00785509372842695,0.005867099251307243,0.0046312411981067,0.004175270436562739,0.004358866989418493
2010-03-12,-0.0007027569117949692,0.0006683509457833865,0.002496807431043197,0.016073791469286274,0.004488823620514396,0.0017496357086712903,-0.00012164548742614974,-0.0012413381298886602,0.00017721279886505673,-0.0026609847147754844,-0.004377390269384894,-0.01366418943161873,0.00013943216365936188,0.007437147778661327,-0.0011908181831960865,0.0024817968969841463,8.672668887355073e-05,-6.0234200880940645e-05
2010-03-15,-0.002357728527833528,-0.0011036709397627149,-0.0005757318378918344,-0.00823309536711538,-0.007160112943015861,0.0009342078567615242,0.0012792795974782291,0.0038487318291098647,0.008351453442408107,0.001580643239220642,0.003041809736352088,-0.00404119313502309,-0.0006817431357178914,0.0017020672843448162,-0.0022897059869453756,0.0018791453061784784,0.0002593586580523777,-0.0007808833897010416
2010-03-16,0.010753337147263037,0.010225235561390178,0.014519421443052596,0.010093886887041345,0.010723239649488257,0.014246991716859437,0.005050264735255638,0.005488989676566448,0.00265710189665884,0.013564563293391028,0.011166179236588936,0.0157575173998785,0.003623015704523843,0.0050783006890505,0.010261433237663257,0.014770073117046575,0.007966156170807093,0.010362235004601456
2010-03-17,0.008185933491644785,0.007371110244826721,0.012340995865935804,-0.002227512581661953,0.005737240924861251,0.01807248547682651,0.0040879059770707075,0.004290066372023654,0.006800332914878542,0.01470652634161044,0.00836346572838401,0.010653665142933231,0.0009597243791325318,0.005099957038453427,0.006016227289043994,0.019895499922461243,0.005927222472930094,0.008100662046791194
2010-03-18,-3.5078714794946545e-05,-0.0014908385248474294,-0.002858571715665561,-0.006556574706748439,-0.008452836793990838,-0.008695007520566912,0.0004427559114229239,0.0008605691755845439,0.0014834142840793392,-0.0032908537340789116,0.0038424992236720736,-0.007348733003529776,-0.0011685449061908267,-0.0011067088770760972,-0.0012076923562674088,-0.012341669744539686,-0.0005116278947649988,-0.0018912159978042974
2010-03-19,-0.006804361767561653,-0.007657675206687709,-0.009356264582723525,-0.004905566362989593,-0.014271755341106444,-0.01681635295245305,-0.0026627929961415622,-0.0019424965863251299,-0.0002752961508197649,-0.011664291133796864,-0.002621724211907667,-0.017062425803927986,-0.0026562883903951907,-0.007091174416258236,-0.007738155361809275,-0.017250165665859636,-0.005062420170454218,-0.006737064820821464
2010-03-22,0.012172186534184734,0.008146518788011816,0.016188310162203356,0.0086558546709261,-0.00031034748237898055,0.020172259948474026,0.0050592774311379665,0.0025841035944852,0.0064167244130078375,0.01687688647797118,0.0019161570703244077,0.01219489157847804,0.0033996423399551084,0.013831426044426444,0.006029502734116624,0.027543093631852346,0.005346305937402374,0.007621166532230343
2010-03-23,0.005855632731307554,0.006569189079706021,0.008525754390903875,0.012114058970673263,0.008398484362492237,0.005364165711715498,0.0032011178523353224,0.0032443389494137467,-0.0012487989598524672,0.005164817706572342,0.010100271649443859,0.012406987018604942,0.002299395696450855,0.0027250605853698633,0.007717231585612603,0.0014198906185271195,0.007033307188077709,0.006970288653126449
